iter	Passed	Remaining
537	9999	8586
538	10017	8567
539	10035	8548
540	10054	8530
541	10072	8511
542	10090	8492
543	10108	8473
544	10126	8454
545	10144	8435
546	10163	8416
547	10182	8398
548	10200	8379
549	10218	8360
550	10238	8343
551	10256	8324
552	10274	8305
553	10293	8286
554	10312	8268
555	10330	8249
556	10349	8231
557	10368	8213
558	10386	8194
559	10404	8175
560	10423	8156
561	10442	8138
562	10460	8119
563	10479	8101
564	10498	8082
565	10516	8063
566	10535	8045
567	10553	8026
568	10571	8007
569	10590	7989
570	10608	7969
571	10625	7950
572	10644	7931
573	10663	7913
574	10681	7895
575	10700	7876
576	10719	7858
577	10739	7841
578	10758	7822
579	10777	7804
580	10795	7785
581	10815	7767
582	10835	7749
583	10853	7731
584	10872	7712
585	10890	7693
586	10909	7675
587	10928	7657
588	10946	7638
589	10964	7619
590	10983	7601
591	11002	7582
592	11021	7564
593	11039	7545
594	11057	7526
595	11074	7507
596	11093	7488
597	11110	7469
598	11129	7450
599	11147	7431
600	11165	7412
601	11183	7393
602	11201	7374
603	11220	7356
604	11240	7339
605	11259	7320
606	11277	7301
607	11296	7283
608	11314	7264
609	11333	7246
610	11352	7227
611	11371	7209
612	11391	7191
613	11409	7172
614	11428	7154
615	11448	7136
616	11465	7117
617	11486	7100
618	11505	7081
619	11523	7062
620	11542	7044
621	11559	7025
622	11578	7006
623	11596	6987
624	11616	6969
625	11634	6951
626	11653	6932
627	11672	6914
628	11691	6895
629	11709	6877
630	11729	6858
631	11748	6841
632	11766	6822
633	11785	6803
634	11804	6784
635	11823	6766
636	11841	6748
637	11859	6729
638	11878	6710
639	11897	6692
640	11915	6673
641	11934	6654
642	11953	6636
643	11971	6617
644	11988	6598
645	12008	6580
646	12027	6561
647	12045	6543
648	12064	6524
649	12083	6506
650	12101	6487
651	12119	6468
652	12138	6450
653	12157	6431
654	12175	6413
655	12193	6394
656	12213	6376
657	12232	6357
658	12252	6340
659	12271	6321
660	12290	6303
661	12308	6284
662	12327	6266
663	12345	6247
664	12363	6228
665	12382	6209
666	12401	6191
667	12419	6172
668	12438	6154
669	12457	6135
670	12476	6117
671	12495	6098
672	12514	6080
673	12533	6062
674	12551	6043
675	12570	6024
676	12588	6006
677	12607	5987
678	12626	5969
679	12644	5950
680	12662	5931
681	12680	5912
682	12699	5893
683	12717	5875
684	12735	5856
685	12756	5838
686	12774	5820
687	12793	5801
688	12813	5783
689	12831	5764
690	12850	5746
691	12868	5727
692	12887	5709
693	12905	5690
694	12924	5672
695	12943	5653
696	12962	5635
697	12981	5616
698	13001	5598
699	13020	5580
700	13038	5561
701	13057	5542
702	13076	5524
703	13094	5505
704	13112	5486
705	13131	5468
706	13149	5449
707	13168	5430
708	13186	5412
709	13205	5393
710	13223	5375
711	13244	5357
712	13265	5339
713	13284	5321
714	13303	5302
715	13322	5284
716	13340	5265
717	13359	5247
718	13378	5228
719	13396	5209
720	13415	5191
721	13430	5171
722	13448	5152
723	13466	5133
724	13485	5115
725	13504	5096
726	13524	5078
727	13543	5060
728	13562	5041
729	13580	5022
730	13599	5004
731	13618	4985
732	13636	4967
733	13655	4948
734	13673	4929
735	13692	4911
736	13710	4892
737	13726	4873
738	13745	4854
739	13764	4836
740	13783	4817
741	13801	4798
742	13820	4780
743	13838	4761
744	13857	4743
745	13876	4724
746	13893	4705
747	13912	4687
748	13930	4668
749	13949	4649
750	13967	4630
751	13985	4612
752	14004	4593
753	14025	4575
754	14043	4557
755	14061	4538
756	14080	4520
757	14099	4501
758	14115	4482
759	14134	4463
760	14153	4445
761	14171	4426
762	14190	4407
763	14208	4388
764	14227	4370
765	14245	4351
766	14265	4333
767	14283	4314
768	14302	4296
769	14321	4277
770	14338	4258
771	14357	4240
772	14375	4221
773	14390	4201
774	14408	4183
775	14426	4164
776	14444	4145
777	14462	4126
778	14481	4108
779	14499	4089
780	14518	4071
781	14535	4052
782	14554	4033
783	14572	4014
784	14590	3996
785	14608	3977
786	14627	3958
787	14645	3940
788	14663	3921
789	14682	3902
790	14701	3884
791	14720	3865
792	14738	3847
793	14756	3828
794	14776	3810
795	14795	3791
796	14813	3772
797	14831	3754
798	14850	3735
799	14868	3717
800	14886	3698
801	14904	3679
802	14922	3661
803	14941	3642
804	14959	3623
805	14977	3605
806	14996	3586
807	15014	3567
808	15034	3549
809	15052	3530
810	15068	3511
811	15087	3493
812	15106	3474
813	15125	3456
814	15143	3437
815	15161	3418
816	15180	3400
817	15199	3381
818	15217	3363
819	15236	3344
820	15254	3325
821	15274	3307
822	15292	3288
823	15309	3269
824	15328	3251
825	15346	3232
826	15364	3214
827	15383	3195
828	15401	3176
829	15420	3158
830	15438	3139
831	15457	3121
832	15475	3102
833	15493	3083
834	15512	3065
835	15531	3046
836	15550	3028
837	15569	3009
838	15588	2991
839	15606	2972
840	15626	2954
841	15645	2935
842	15664	2917
843	15680	2898
844	15698	2879
845	15717	2861
846	15735	2842
847	15755	2824
848	15778	2806
849	15796	2787
850	15814	2768
851	15833	2750
852	15852	2731
853	15870	2713
854	15890	2694
855	15908	2676
856	15926	2657
857	15945	2638
858	15963	2620
859	15981	2601
860	15999	2583
861	16018	2564
862	16038	2546
863	16056	2527
864	16075	2508
865	16093	2490
866	16112	2471
867	16130	2453
868	16149	2434
869	16168	2416
870	16186	2397
871	16204	2378
872	16223	2360
873	16241	2341
874	16260	2322
875	16279	2304
876	16298	2285
877	16316	2267
878	16335	2248
879	16353	2230
880	16372	2211
881	16390	2192
882	16409	2174
883	16427	2155
884	16441	2136
885	16459	2117
886	16478	2099
887	16496	2080
888	16514	2062
889	16532	2043
890	16552	2024
891	16572	2006
892	16590	1987
893	16608	1969
894	16627	1950
895	16645	1932
896	16664	1913
897	16682	1894
898	16701	1876
899	16719	1857
900	16739	1839
901	16758	1820
902	16776	1802
903	16792	1783
904	16810	1764
905	16828	1746
906	16847	1727
907	16865	1708
908	16883	1690
909	16901	1671
910	16920	1653
911	16940	1634
912	16957	1615
913	16976	1597
914	16994	1578
915	17012	1560
916	17032	1541
917	17050	1523
918	17069	1504
919	17088	1485
920	17106	1467
921	17125	1448
922	17143	1430
923	17161	1411
924	17180	1393
925	17198	1374
926	17216	1355
927	17234	1337
928	17253	1318
929	17274	1300
930	17289	1281
931	17307	1262
932	17326	1244
933	17345	1225
934	17363	1207
935	17381	1188
936	17400	1169
937	17419	1151
938	17436	1132
939	17454	1114
940	17472	1095
941	17490	1076
942	17509	1058
943	17528	1039
944	17546	1021
945	17564	1002
946	17583	984
947	17601	965
948	17620	946
949	17639	928
950	17657	909
951	17675	891
952	17693	872
953	17711	854
954	17730	835
955	17749	816
956	17770	798
957	17788	779
958	17807	761
959	17825	742
960	17844	724
961	17862	705
962	17880	687
963	17899	668
964	17917	649
965	17936	631
966	17955	612
967	17974	594
968	17993	575
969	18013	557
970	18031	538
971	18048	519
972	18067	501
973	18085	482
974	18104	464
975	18127	445
976	18145	427
977	18164	408
978	18182	390
979	18201	371
980	18219	352
981	18238	334
982	18256	315
983	18276	297
984	18294	278
985	18313	260
986	18332	241
987	18350	222
988	18369	204
989	18388	185
990	18406	167
991	18425	148
992	18444	130
993	18462	111
994	18482	92
995	18500	74
996	18518	55
997	18536	37
998	18554	18
999	18573	0
